[2026-08-22T15:40:05+00:00] monitor started: experiment=realworld-opencode-x-preview-f-free-high-all-20260822-1838 arms=baseline,doorstop,graphify,ponytail,strictdoc,supermemory,tdd,thermo-nuclear-code-quality-review,combo-supermemory-graphify,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-doorstop-tdd,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-tdd runs=1 jobs=5 rework_attempts=2
[2026-08-22T15:40:05+00:00] starting attempt 1 (fresh): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-opencode-x-preview-f-free-high-all-20260822-1838 --problem realworld --arms baseline,doorstop,graphify,ponytail,strictdoc,supermemory,tdd,thermo-nuclear-code-quality-review,combo-supermemory-graphify,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-doorstop-tdd,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-tdd --runs 1 --jobs 5 --agent opencode --provider opencode_auth --model x-preview-f-free --thinking high --rework-attempts 2
[2026-08-22T15:40:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: no state.json; doorstop/run_1: no state.json; graphify/run_1: no state.json; ponytail/run_1: no state.json; +8 more; experiment processes=1
[2026-08-22T15:51:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:52:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:53:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:54:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:55:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:56:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:57:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:58:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:59:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:00:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:01:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:02:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:03:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:04:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:05:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:06:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:07:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:08:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:09:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:10:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:11:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:12:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:13:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:14:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:15:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:16:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:17:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:18:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:19:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:20:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:21:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:22:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:23:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:24:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:25:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:26:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:27:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:28:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T16:29:06+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=15
[2026-08-22T16:30:06+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:31:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:32:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:33:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:34:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:35:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:36:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:37:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:38:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:39:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:40:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:41:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:42:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:43:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:44:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:45:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:46:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:47:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:48:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:49:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:50:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:51:07+00:00] heartbeat: 1/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; +7 more; experiment processes=16
[2026-08-22T16:52:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:53:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:54:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:55:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:56:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:57:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:58:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T16:59:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:00:07+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:01:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:02:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:03:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:04:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:05:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:06:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:07:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:08:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:09:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:10:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:11:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:12:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:13:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:14:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=16
[2026-08-22T17:15:08+00:00] heartbeat: 2/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; strictdoc/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; +6 more; experiment processes=15
[2026-08-22T17:16:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:17:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:18:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:19:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:20:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:21:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:22:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:23:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
[2026-08-22T17:24:08+00:00] heartbeat: 3/12 slots complete; pending: doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; supermemory/run_1: phase=started stop=started; tdd/run_1: phase=started stop=started; +5 more; experiment processes=16
