[2026-09-08T08:15:56+00:00] monitor started: experiment=realworld-neuraldeep-qwen3827b-baseline-20260908 arms=baseline runs=1 jobs=1 rework_attempts=2
[2026-09-08T08:15:56+00:00] starting attempt 1 (fresh): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --agent opencode --provider opencode_auth --model qwen3.8-27b --thinking none
[2026-09-08T08:15:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: no state.json; experiment processes=1
[2026-09-08T08:36:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:37:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:38:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:39:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:40:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:41:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:42:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:43:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:44:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:45:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:46:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:47:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:48:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:49:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:50:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:51:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:52:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:53:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:54:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:55:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:56:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:57:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:58:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:59:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:00:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:01:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:02:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:03:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:04:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:05:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:06:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:07:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:08:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:09:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:10:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:11:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:12:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:13:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:14:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:15:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:16:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:17:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:18:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:19:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:20:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:21:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:22:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:23:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:24:57+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:25:40+00:00] attempt 1 ended with exit=0; 0/1 slots complete
[2026-09-08T09:25:41+00:00] will retry in 30s (resume); restarts used=1
[2026-09-08T09:26:11+00:00] starting attempt 2 (resume): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --resume
[2026-09-08T09:26:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=incomplete stop=interrupted; experiment processes=1
[2026-09-08T09:27:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:28:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:29:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:30:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:31:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:32:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:33:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:34:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:35:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:36:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:37:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:38:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:39:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:40:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:41:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:42:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:43:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:44:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:45:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:46:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:47:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:48:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:49:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:50:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:51:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:52:11+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:53:08+00:00] attempt 2 ended with exit=0; 0/1 slots complete
[2026-09-08T09:53:08+00:00] will retry in 30s (resume); restarts used=2
[2026-09-08T09:53:38+00:00] starting attempt 3 (resume): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --resume
[2026-09-08T09:53:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=incomplete stop=interrupted; experiment processes=1
[2026-09-08T09:54:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:55:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:56:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:57:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:58:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T09:59:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:00:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:01:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:02:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:03:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:04:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:05:38+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:06:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:07:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:08:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:09:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:10:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:11:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:12:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:13:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:14:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:15:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:16:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:17:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:18:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:19:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:20:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:21:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:22:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:23:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:24:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:25:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:26:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:27:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:28:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:29:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:30:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:31:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:32:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:33:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:34:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:35:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:36:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:37:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:38:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:39:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:40:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:41:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:42:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:43:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:44:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:45:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:46:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:47:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:48:39+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:49:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:50:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:51:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:52:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:53:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:54:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:55:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:56:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:57:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:58:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T10:59:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:00:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:01:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:02:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:03:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:04:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:05:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:06:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:07:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:08:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:09:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:10:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:11:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:12:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:13:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:14:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:15:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:16:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:17:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:18:40+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:19:31+00:00] attempt 3 ended with exit=0; 0/1 slots complete
[2026-09-08T11:19:31+00:00] will retry in 30s (resume); restarts used=3
[2026-09-08T11:20:01+00:00] starting attempt 4 (resume): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --resume
[2026-09-08T11:20:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=incomplete stop=interrupted; experiment processes=1
[2026-09-08T11:21:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:22:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:23:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:24:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:25:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:26:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:27:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:28:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:29:01+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:30:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:31:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:32:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:33:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:34:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:35:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:36:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:37:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:38:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:39:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:40:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:41:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:42:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:43:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
